,type,location_name,region,latitude,longitude,yelp_id,yelp_ave,yelp_reviews,Ratings,Review_Text
2000,Brewpub,Rock Bottom Brewery,FL,29.193129,-81.072189,S-7tctmw8fl3D32r8MHlVg,3.0,202,5,Awesome food and service. IPA selections very good!!! Covid-19 precautions in place. Eating outside is enjoyable!
2001,Brewpub,Rock Bottom Brewery & Restaurant Bolingbrook,IL,41.71863,-88.040708,6M7jcA2b4axe-EeYwiHkXg,3.0,445,4,Steak was delicious! Moscow mules were refreshing. Service was great! We haven't been in a very long time . Menu is smaller because of covid but glad to see...
2002,Brewpub,Rock Bottom Brewery Bethesda,MD,38.988913000000004,-77.097748,x1hi0jExi9cbMQvWxWJPdA,3.0,430,4,"Glad they are open with the full menu and with inside dining.  Ever since the Ballston location closed, my children have been asking for fish tacos.  We..."
2003,Brewpub,Rock Bottom Brewery Chicago,IL,41.891427,-87.62826899999999,UQJ6tKY4Uz6P-7d7oych2w,3.5,1050,4,"We found ourselves downtown wanting to grab a bite to eat, so what better than a rooftop before summer is officially over. We got the nachos and meat lover..."
2004,Brewpub,Rock Bottom Brewery Colorado Springs,CO,38.881166,-104.718199,4jmODdsgRO9Iapr1pHcIyQ,3.5,319,4,"The Rock Bottom Brewery has a great selection of beer, spirits , and wine. Chose a Bourbon Peach Smash, had a delicious Rib Eye with green beans & mashed..."
2005,Brewpub,Rock Bottom Brewery Denver,CO,39.747551,-104.99477900000001,-izMm16SLxE9mlbkxXagSQ,3.5,708,5,"I'd give this place 3x the amount of stars if I could. On a recent trip to Denver, my friend and I happened to come across this place while exploring the..."
2006,Brewpub,Rock Bottom Brewery Englewood,CO,39.567840999999994,-104.873927,KbGU3pTS6Lc87t8X6WD6Ng,3.0,252,5,My husband and I ate here for the first time yesterday and we were both pleasantly surprised! We ordered some wings for our appetizer and I normally don't...
2007,,Rock Bottom Brewery Highlands Ranch,CO,39.555169,-105.007527,HK5QJaFjjinCmyAVBbeFhQ,3.5,109,4,Really busy so there is always a wait even with reservations. Food was really good at a reasonable price. Green bean side was excellent. So was the Mac and...
2008,Brewpub,Rock Bottom Brewery Indianapolis,IN,39.767421,-86.158567,7dCyacu8LnFi5PR63uSntQ,4.5,57,5,"We had a great experience here! Even during COVID 19, they were open for patio dining and take away, and all in a pleasant environment. The employees were..."
2009,Brewpub,Rock Bottom Brewery Milwaukee,WI,43.039656,-87.911518,hSLCmgz-oYb542Zw_EGhfg,3.5,440,4,"They have a nice patio on the river. Great river view, nice breeze and downtown vibes. Food portion size is huge. Food quality is pretty average at a..."
2010,Brewpub,Rock Bottom Brewery Minneapolis,MN,44.976371,-93.27513499999999,DLZt9XlkpqdYiiMyh3MR3A,3.0,211,5,"Back in Minneapolis, where I used to live, for a few days. Walked through the skyway because hotel gave a discount to this place. I know it's a chain but..."
