,type,location_name,region,latitude,longitude,yelp_id,yelp_ave,yelp_reviews,Ratings,Review_Text
6000,Taproom,Fleur De Lis Brew Works,NY,42.849026,-76.80771800000001,rMbQbjh3T6-EuUEzq82G1g,4.5,8,5,Made a pit stop here on the fly by trip up to the finger lakes. Saw it on the Yelp app and the brews looked tasty so we stopped in. Great space and the...
6001,Taproom,Floating Bridge Brewing,WA,47.661534,-122.319806,hFdhNWAIUHy8TtcBiLZuPQ,4.5,49,5,"It's one of my favorite breweries in Seattle. They always have a great choice of beer and cider. Prices are lower than in most of U-district places, and..."
6002,,Floodwater Brewing Co,MA,42.604331,-72.74101800000001,Na,Na,Na,Na,Na
6003,Taproom,Florence Brewing Company,CO,38.388697,-105.118333,BUbXlnd9e1ue2i0L32wHOg,4.5,35,5,"Great beers, even better people! Fantastic staff that was helpful and pleasant, easy website to navigate for pickup orders through the COVID troubles. Was..."
6004,Taproom,Florida Keys Brewing Co,FL,24.914448,-80.636928,wsCeapl20BexlCQDi_PF6Q,5.0,309,5,"**VISITED DURING COVID** 
This place caught our eye on the way back to miami. We were stuck in traffic and saw this cute little purple building and decided..."
6005,Taproom,Florida Keys Brewing Co Taproom,FL,24.915591,-80.637517,wsCeapl20BexlCQDi_PF6Q,5.0,309,5,"**VISITED DURING COVID** 
This place caught our eye on the way back to miami. We were stuck in traffic and saw this cute little purple building and decided..."
6006,Taproom,Flounder Brewing Co,NJ,40.491026,-74.64280500000001,OStTWrbiVf_hKGGr9aY3uw,4.5,25,5,"Love this place- great little brewery in (what seems to me, from living in Linden) the middle of nowhere. 

As with most breweries in New Jersey, it's..."
6007,Taproom,Fluvial Brewing,ME,44.077841,-70.62235600000001,IEdgKfklU0NtP_tD07DBaA,4.0,10,3,"What a view!  If you follow me, you know I am not into beer... but my husband is!  (I am also pregnant.)  It was a hot summer day and we were staying in..."
6008,Taproom,Flying Bike Cooperative Brewery,WA,47.692078,-122.354977,NFJM3m6_ieKvJerTECHO1A,4.5,69,5,Love love love this brewery and I plan on joining as a member! The staff are super friendly and strict on covid safety (which I love). Lots of outdoor...
6009,Taproom,Flying Boat Brewing Company,FL,27.782682,-82.657655,3Vrad15d3I7m5-0uvGJgUw,4.0,50,5,I've been to this place a few times before writing a review... not sure why it took me so long. There's something about this brewery that is different from...
6010,,Flying Dreams Brewing Co,MA,42.347126,-71.553085,FcWfJ-um9cdi3MBkeHTZ8g,4.5,9,5,"Went there on OCT 31. They were great, very welcoming on our impromptu
stop. We got flights and warm pretzels (but we're is the beer cheese dip?).  We had..."
6011,Taproom,Flying Dreams Brewing Co,MA,42.254560999999995,-71.825654,3f7znkgBdvNC9kXj7Dkjzg,4.5,17,4,Really liked it here! Obviously very small because they brew here. The guy working was SUPER friendly and knowledgeable of the beer. Loved that they offered...
