,type,location_name,region,latitude,longitude,yelp_id,yelp_ave,yelp_reviews,Ratings,Review_Text
0,Brewpub,101 Brewery,WA,47.822407,-122.87535600000001,LL7jMPRsyvxmjH9NdMhwqg,4.0,90,5,"While we were disappointed that we did not get to try out the famous Pecker Pole Pale Ale (they were all out), we did enjoy a glass of their On-tap IPA and..."
1,Brewpub,122 West Brewing Co,WA,48.762557,-122.485773,Na,Na,Na,Na,Na
2,Brewpub,12Degree Brewing,CO,39.978215000000006,-105.131876,epJrb9ikQOUit-K0yuDEuA,4.5,168,5,"While I have been there in person and it was wonderful; with a cool atmosphere, good beer and good  food what I am really writing this review about it an..."
3,Brewpub,15 24 Brew House,KS,39.376021,-97.127491,ICwdhxysBYrlLR1qcvPYdA,4.5,7,5,I haven't had micro brew like this place in a long time. Beer was awesome. Service was great. Food was beyond good. This is definitely the gem in Clay...
4,Brewpub,16 Stone Brewpub,NY,43.241849,-75.256302,kYAPdCWLuQHmifVWMT39zw,4.0,4,4,I'm torn.  Came here for Fathers Day and had some beer and food. My dad said best chicken tenders he ever had.  I had loaded nachos which was also good....
5,Brewpub,1718 Ocracoke Brewing,NC,35.107469,-75.971869,Xp3n84pEDyJIJgVsKeTLvw,4.5,35,5,We've been here 4 times in 3 days. The food at Plum Point is delicious and the beer at 1718 is the best on the island. We are here during the Pandemic when...
6,Brewpub,1787 Brewing Company,PA,40.554332,-75.981847,1VKpzjN5OlDYbKgZW6rBBg,3.5,43,5,"Excellent service, beer for every taste, good food and great ambiance. We dined in the ""alley"" next to the brewery due to Covid.  I had the cranberry wheat..."
7,Brewpub,1849 Brewing Company,CA,39.232566999999996,-121.036925,asE48mbOq5zaIMAtLGk8Uw,3.0,106,5,Absolutely amazing spot. The outdoor patio is super rad and the expansion they did to make room for Covid is awesome. They bring in fantastic bands and the...
8,Brewpub,18th Ward Brewing Co,NY,40.71952,-73.93951,Na,Na,Na,Na,Na
9,Brewpub,2 Feet Brewing Company,ME,44.800216999999996,-68.772745,Na,Na,Na,Na,Na
10,Brewpub,2 Silos Brewing Company,VA,38.742953,-77.521766,4NgZi3JXDKNaplbm4jREBw,3.5,339,4,"For COVID, 2 silos is requiring reservations, spaced the tables and has reduced capacity.  This was my first visit here and the physical set up is so..."
11,Brewpub,20 Corners Brewing LLC,WA,47.767961,-122.152115,Na,Na,Na,Na,Na
12,Brewpub,210 Brewing Co,WA,48.214312,-122.183555,eyyiPZJ_Wx89lDf_qlSc4g,3.0,45,3,"Slow, slow, slow.

Took our waitress 10 minutes to acknowledge us. And when she did she just stuck her head around the corner and said she would be right..."
13,Brewpub,21st Amendment Brewery Cafe,CA,37.782519,-122.392458,2FhkLW_EwD-CwOzteklkIA,3.5,2477,5,"Great beer selection, atmosphere, and food! Open with outdoor seating with current Covid-19 restrictions. It was such a nice little escape from all the..."
14,Brewpub,22 Northmen Brewing Company,MN,45.960645,-95.39452299999999,s6N1rM-R1p_Pv_KD8oInhw,3.5,8,5,"Made a pit stop here on our road trip from Chicago to Fargo. This place was beautiful, clean and very spacious. The beer was excellent! We're plant based..."
15,Brewpub,23rd Street Brewery,KS,38.943034999999995,-95.281089,B_HMlSZQ2jvoQs8_WIhdpQ,3.5,175,4,"Always love this place! We sat outside the other day for dinner, but ended up moving inside due to the heat. Service was great and fast, she answered any..."
16,Brewpub,256 North Restaurant,CA,38.236996000000005,-122.641663,94P3UQLtt0z3MdT9QAg36Q,3.5,273,5,"You can't go wrong with any of the food. Jan pours her heart and soul into everything on the menu. The wait staff is excellent, and the drinks are strong...."
17,Brewpub,2nd Story Brewing Company,PA,39.948429,-75.14354,jEasa4Sbzy4NdLyzPPgQyg,4.0,544,3,"I was really in the mood for a fried chicken sandwich, and my go to place Love & Honey was closed and not taking anymore delivery orders. So I went with 2nd..."
18,,2x4 Brew Pub,NC,35.503476,-82.522345,Na,Na,Na,Na,Na
